Name,Google Play Price,App Store Price
Wanelo Shopping,0.0,
Wayfair - Shop All Things Home,0.0,
Wemep - Special price representative (special / shopping / shopping app / coupon / shipping),0.0,
Wish - Shopping Made Fun,0.0,
ZALORA Fashion Shopping,0.0,
Zappos – Shoe shopping made simple,0.0,
bigbasket - online grocery,0.0,
cPro Marketplace: Buy. Sell. Rent. Date. Jobs.,0.0,
ck-modelcars Shop,0.0,
ck-modelcars-UK Shop,0.0,
dekoreko-dz,0.0,
eBay Kleinanzeigen for Germany,0.0,
eBay: Buy & Sell this Summer - Discover Deals Now!,0.0,
ePN Cashback AliExpress,0.0,
ePazar.bg,0.0,
efootwear.eu - online store,0.0,
foody Cyprus - online ordering,0.0,
"letgo: Buy & Sell Used Stuff, Cars & Real Estate",0.0,
postit.bm,0.0,
ricardo.ch,0.0,
tutti.ch - Free Classifieds,0.0,
zulily - Shop Daily Deals in Fashion and Home,0.0,
Šmelina .cz inzeráty inzerce,0.0,
パーリーゲイツ公式通販｜EJ STYLE（イージェイスタイル）,0.0,
1号店-全球超市 轻松到家,,0.0
5miles: Buy and Sell Used Stuff Locally,,0.0
"AEO|Aerie: Jeans, Dresses, Swimsuits & Bralettes",,0.0
ASOS,,0.0
AliExpress Shopping App,,0.0
"Amazon App: shop, scan, compare, and read reviews",,0.0
Amazon Prime Now,,0.0
Apple Store,,0.0
Best Buy,,0.0
Black Friday 2017 Ads App - BlackFriday.fm,,0.0
CVS,,0.0
CVS Pharmacy,,0.0
Cartwheel by Target,,0.0
Checkout 51: Grocery Coupons & Cash Back Savings,,0.0
Close5 - Buy & Sell Stuff Locally,,0.0
Creema（クリーマ）- ハンドメイドマーケットプレイス,,0.0
DaWanda - The marketplace for unique products,,0.0
"Depop - Buy, Sell and Share",,0.0
"Ebates: Cash Back, Coupons & Rebate Shopping App",,0.0
"Etsy: Shop Handmade, Vintage & Creative Goods",,0.0
"Flipp - Weekly Ads, Shopping List, and Coupons",,0.0
Foot Locker,,0.0
Footaction,,0.0
Fuel Rewards® program,,0.0
GOAT: Buy & Sell Sneakers,,0.0
Gilt,,0.0
"Groupon - Deals, Coupons & Discount Shopping App",,0.0
Gumtree Classifieds: Buy & Sell - Local for Sale,,0.0
H&M,,0.0
HIGO-全球奢侈品牌和设计师品牌购买平台,,0.0
Honest App: Shop baby & diaper products,,0.0
"Ibotta: Cash Back App, Grocery Coupons & Shopping",,0.0
"Inkly: Greeting Cards, Postcards, Flowers & Gifts",,0.0
JCPenney,,0.0
JD Sports,,0.0
Jet: Online Shopping Deals & Bulk Wholesale Prices,,0.0
KIXIFY - Buy & Sell Sneakers,,0.0
Kirkland's Spin to Win,,0.0
"Kmart – Download Now, Shop Online & Pick Up Today!",,0.0
"Kohl's App: Scan, Shop, Pay and Save!",,0.0
Lush Cosmetics,,0.0
Macy's,,0.0
Mercari: Shopping Marketplace to Buy & Sell Stuff,,0.0
Missguided,,0.0
My College Bookstore,,0.0
Nike+,,0.0
OVO Store,,0.0
OfferUp - Buy. Sell. Simple.,,0.0
Poshmark: Buy & Sell Fashion,,0.0
Red－shop the world,,0.0
"RetailMeNot Shopping Deals, Coupons, Savings",,0.0
"Retale - Coupons, Weekly Ads & Stores Nearby",,0.0
Romwe shopping- Fashion Clothing for women,,0.0
SHEIN Shopping - Women's Clothing & Fashion,,0.0
SNKRS,,0.0
Sam's Club: Wholesale Shopping & Bulk Buy Deals,,0.0
Sam’s Club Scan & Go,,0.0
Sephora Makeup & Beauty App – Insider Tips & Style,,0.0
Shop Savvy Barcode Scanner - Price Compare & Deals,,0.0
"Shopular Coupons, Weekly Deals for Target, Walmart",,0.0
Showroomprive - Private Fashion Sales,,0.0
Shpock Boot Sale & Classifieds App. Buy & Sell,,0.0
Target,,0.0
The Christmas List,,1.99
The Clymb — Gear Deals,,0.0
