Name,Google Play Price,App Store Price
Alphabet Aquarium School Adventure Vol 1: Teachme Letters - Animated Puzzle Games for Preschool and Kindergarten Explorers by 22learn,,1.99
Alter Ego,,4.99
Alternative Girls,,0.0
Alto's Adventure,,4.99
Amaranthine Voyage: The Obsidian Book - A Hidden Object Adventure (Full),,6.99
Amaranthine Voyage: The Orb of Purity (Full),,6.99
Amaranthine Voyage: The Shadow of Torment - A Magical Hidden Object Adventure (Full),,2.99
Amaranthine Voyage: The Shadow of Torment HD - A Magical Hidden Object Adventure (Full),,6.99
Amateur Surgeon 4,,0.0
Amazing Thief,,0.0
Ambition: Strategy War Game,,3.99
Amusement Park Fair Ground Circus Trucker Parking Simulator,,0.0
Amusement Park Tour,,0.0
Amusement Park Tour 2: Fun Xmas,,0.0
AngerForce - Strikers,,3.99
Angry Birds,,0.0
Angry Birds 2,,0.0
Angry Birds Action!,,0.0
Angry Birds Blast,,0.0
Angry Birds Epic RPG,,0.0
Angry Birds Friends,,0.0
Angry Birds Go!,,0.0
Angry Birds HD,,0.0
Angry Birds POP! - Bubble Shooter,,0.0
Angry Birds Rio,,0.0
Angry Birds Rio HD,,0.0
Angry Birds Seasons HD,,0.0
Angry Birds Space,,0.0
Angry Birds Space HD,,0.0
Angry Birds Star Wars,,0.0
Angry Birds Star Wars HD,,0.0
Angry Birds Star Wars II,,0.0
Angry Birds Transformers,,0.0
Animal Jam - Play Wild!,,0.0
Animation Throwdown: The Quest for Cards,,0.0
Anime Studio Story,,4.99
Ao Oni2,,0.0
Apestorm: Full Bananas,,1.99
Apollo Justice Ace Attorney,,0.99
Aralon: Forge and Flame,,4.99
Arcadecraft,,0.99
Arcane Online - Fantasy MMORPG,,0.0
Archery King,,0.0
Arma Mobile Ops,,0.0
Army of Heroes,,0.0
Around The World in 80 Days - Hidden Object Games,,1.99
Arrow,,0.0
Arrow Ambush,,0.0
Arthur's Adventures-Road of Glory:Pocket Edition,,0.99
Ask Drift0r (for Call of Duty: Black Ops 3),,1.99
Asphalt 8: Airborne,,0.0
Asphalt Xtreme: Offroad Rally Racing,,0.0
Assassin's Creed Identity,,4.99
Assassin's Creed Pirates,,0.0
Assault on Arnhem,,4.99
Asterix and Friends,,0.0
Astrå,,0.99
Asva The Monkey HD,,0.99
Asymmetric,,1.99
Athlete Shave Salon Games,,0.0
Athletics 2: Summer Sports,,1.99
Athletics 2: Summer Sports - Free,,0.0
Athletics: Summer Sports (Full Version),,0.99
Athletics: Winter Sports (Full Version),,0.99
Atlantic Fleet,,9.99
Atomic Super Lander,,2.99
Attack Heroes,,0.99
Attack the Light - Steven Universe Light RPG,,2.99
Auralux: Constellations,,0.0
Aurora - Puzzle Adventure,,1.99
Aussie Rules Hero - Footy Goal Kicking Game,,0.0
Auto IV Calc for PokemonGO,,0.0
Auto Warriors - Tactical Car Combat,,0.0
Autumn Dynasty Warlords,,6.99
Axe in Face 2,,0.0
BADLAND,,2.99
BADLAND 2,,3.99
BARRIER X,,0.0
BATTLE BEARS -1,,0.99
BATTLE BEARS: Zombies!,,0.99
BBTAN by 111%,,0.0
BCM Surfing Game - World Surf Tour,,2.99
BFB Champions 2.0 ~Football Club Manager~,,0.0
BIG WIN Basketball,,0.0
BLEACH Brave Souls,,0.0
BLOCK(ブロック) -ぼくの箱庭【3D】-,,0.0
BLUK,,1.99
BMO Snaps - Adventure Time Photo Game,,2.99
BMX Streets,,2.99
BO3 Ultimate Utility™ for Call of Duty Black Ops 3,,4.99
BUBBLE BOBBLE DOUBLE,,4.99
Baby Airlines - Airport Adventures,,0.0
"Baby Boss - Care, Dress Up and Play",,0.0
Baby Bottle Challenge - Water Bottle Flip,,0.0
Baby Care & Dress Up - Love & Have Fun with Babies,,0.0
"Baby Food Fair - Make, Eat, Play - Have Fun!",,0.0
"Baby Full House - Care, Play and Have Fun",,0.0
"Baby Kim - Care, Play & Dress Up",,0.0
Baby Rattle with Child Lock,,1.99
Baby Twins - Terrible Two,,0.0
Babysitter Craziness - Fun Kids Game,,0.0
Babysitter Madness - Help the Nanny,,0.0
Back To Square One,,0.0
Backbreaker 2: Vengeance,,0.99
Backflip Madness,,0.99
Bad Piggies,,0.0
Bad Piggies HD,,0.0
Bakery Blitz: Cooking Game,,0.0
Bakery Story 2,,0.0
Baldur's Gate II:EE,,9.99
Baldur's Gate: Enhanced Edition,,9.99
Ball Escape!,,0.0
Ball King,,0.0
Ball Maze!,,0.0
Ball Tower,,0.0
Bangers Unlimited 2,,3.99
Banner Saga,,9.99
Banner Saga 2,,9.99
Bar Oasis 2 Aftertaste 01,,3.99
Base Invaders - For Big Narstie,,1.99
Baseball Highlights 2045,,3.99
Basket Fall - Basketball Dunking Sim,,0.0
Basketball Clicker,,0.0
Basketball Free Throw,,0.0
Basketball Stars™,,0.0
Bastion,,4.99
Batman - The Telltale Series,,4.99
Batman v Superman: Who Will Win,,0.0
Batman: Arkham Origins,,0.0
Batman: Arkham Underworld,,0.0
Battle Bears Overclock FPS Epic Multiplayer Shooting Games,,0.0
Battle Camp HD - Collect & Evolve Your Monsters,,0.0
Battle Copters,,0.0
Battle Golf,,0.0
Battle Supremacy,,4.99
Battle Supremacy: Evolution,,4.99
BattleHand,,0.0
Battleborn® Tap,,0.0
Battlefleet Gothic: Leviathan,,9.99
Battleheart,,2.99
Battleheart Legacy,,4.99
Battleplans - #1 Battle Strategy & Defense Game,,0.0
Battlestar Galactica: Squadrons™,,0.0
Battlevoid: Harbinger,,0.99
Baum,,1.99
Be-be-bears!,,2.99
Beach Buggy Racing,,0.0
Beach Volleyball 2016,,0.99
Beams.,,0.99
Bean Dreams,,0.99
Bear Pop - Bubble Shooter Game,,0.0
Beast Poker,,0.0
Beat Racer,,0.0
Beat Stomper,,1.99
Beat da Beat,,0.99
Beat the Boss 2,,0.0
Beat the Boss 2 (17+),,0.99
Beat the Boss 3 (17+),,0.99
Beat the Boss 4,,0.0
Bee Brilliant,,0.0
Beer Pong Game,,0.0
Behind You!!,,0.0
Being SalMan: The Official Game,,0.0
Bejeweled Blitz,,0.0
Bejeweled Classic,,0.0
Bejeweled Classic HD,,0.0
Bejeweled Stars,,0.0
Bella's Pizza Place - Italian Food Maker,,0.0
Beneath The Lighthouse,,0.0
Bernie Sandwiches - Run For The White House,,0.0
Best Fiends,,0.0
Best Fiends Forever,,0.0
Beyond 14,,0.0
Beyond: Light Advent Collector's Edition (Full),,6.99
Beyondium,,1.99
Bibi & Tina: Pferdeabenteuer,,2.99
Big Bang Racing,,0.0
Big Fish Casino – Best Vegas Slot Machines & Games,,0.0
Big Win Football 2016,,0.0
Bike Baron,,1.99
Bike Race - Top Motorcycle Racing Games,,0.0
Bike Race Level 100,,0.0
Bike Race Pro - Top Motorcycle Racing Game,,0.99
Bike Traffic Rider an Extreme Real Endless Road Racer Racing Game,,0.0
Bike Unchained,,0.0
Billiards8 (8 Ball & Mission),,0.0
Billiards9,,0.0
Billion Hunter - Casual Monster Clicker RPG,,0.0
Billionaire – Business Capitalist Tycoon!,,0.0
Bingo Pop,,0.0
Bingo!™,,0.0
Bio Inc. Platinum - Biomedical Plague,,2.99
Bits of Sweets,,0.0
Black Hole -世の中で最も困難な物理げーむ ぱずる-,,0.0
Black Hole Joyrider,,0.99
BlackOut: Bring the color back in the sky,,2.99
Blackbar,,2.99
Blackbox - think outside the box,,0.0
Blackjack by MobilityWare,,0.0
Blackthorn Castle,,2.99
Blackwell 1: Legacy,,2.99
Blackwell 4: Deception,,3.99
Blackwell 5: Epiphany,,3.99
Blade Sliders,,0.0
Blade of Elemental,,0.99
Blair's Fashion Boutique - School Style,,0.0
BlazBlue RR - the Real Action Game,,0.0
Blek,,2.99
Blendamaze,,2.99
Blitz Breaker,,2.99
Blitz Brigade: Multiplayer FPS shooter online!,,0.0
Blitz Survival Games - Multiplayer Pixel Master Mini Games,,0.99
Block Craft 3D: Building Simulator Game For Free,,0.0
Block Earth,,4.99
Block Fortress,,1.99
Block Fortress: War,,1.99
Block Party : Mini Game With Worldwide Multiplayer,,0.99
Block Sky War (Luck of the Draw) : Mini Game With Worldwide Multiplayer,,0.99
Block Story Premium,,2.99
Block Сity Wars: game and skin export to minecraft,,0.0
Block! Hexa Puzzle,,0.0
Blocko.,,1.99
Blocky Basketball - Endless Arcade Dunker,,0.0
Blocky Football,,0.0
Blocky Hockey - Arcade Ice Runner,,0.0
Blocky Racer - Endless Arcade Racing,,0.0
Blocky Roads,,0.99
Blocky Soccer - Endless Arcade Runner,,0.0
"Blokus™ – Attack, Block & Defend!",,1.99
Bloons Super Monkey,,0.99
Bloons Supermonkey 2,,0.99
Bloons TD,,2.99
Bloons TD 4,,2.99
Bloons TD 4 HD,,2.99
Bloons TD 5,,2.99
